"date","Net_Worth_In_Millions","Net_Worth/DPI","Total_Assets_In_Millions","Total_Assets/DPI","Total_Liabilities_In_Millions","Total_Liabilities/DPI","Nonfinancial_Assets_In_Millions","Nonfinancial_Assets/DPI","Financial_Assets_In_Millions","Financial_Assets/DPI","Home_Mortgages_In_Millions","Home_Mortgages/DPI","Consumer_Credit_In_Millions","Consumer_Credit/DPI","Other_Liabilities_In_Millions","Other_Liabilities/DPI","Real_Estate_In_Millions","Real_Estate/DPI","Consumer_Durables_In_Millions","Consumer_Durables/DPI","Nonfinancial_Assets_In_Millions","Nonfinancial_Assets/DPI","Deposits_In_Millions","Deposits/DPI","Directly_Held_Corporate_Equities_In_Millions","Directly_Held_Corporate_Equities/DPI","Indirectly_Held_Corporate_Equities_In_Millions","Indirectly_Held_Corporate_Equities/DPI","Directly_Held_Debt_Securities_In_Millions","Directly_Held_Debt_Securities/DPI","Indirectly_Held_Debt_Securities_In_Millions","Indirectly_Held_Debt_Securities/DPI","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q""2023:Q3",150988726,743.49,171265885,843.33,20277159, 99.85,58842081,289.75,112423804,553.59,12925841, 63.65,4967288,24.46,2384030,11.74,45543576,224.26,7850265,38.66,5448240,26.83,17774550, 87.52,28852332,142.07,14208687,69.97,5474865,26.96,5240219,25.80,15484768, 76.25,16270015, 80.12,9118368,44.90,-1311712,-1690272, -69063,  469002,  -21379,20308194
"2020:Q4",131470660,759.07,148649824,858.26,17179164, 99.19,43608072,251.78,105041752,606.48,10862378, 62.72,4184853,24.16,2131933,12.31,32983918,190.44,6026241,34.79,4597913,26.55,16224631, 93.68,26067112,150.50,14829088,85.62,4056389,23.42,5778094,33.36,16458235, 95.02,13264513, 76.59,8363691,48.29, 8288674, 5711477, 300971, 1077889, 1198338,17319968
"2020:Q3",123181985,700.69,140098501,796.91,16916515, 96.22,42369491,241.01, 97729010,555.90,10733147, 61.05,4142672,23.56,2040696,11.61,32028003,182.18,5877615,33.43,4463873,25.39,15575187, 88.60,22087272,125.64,13097451,74.50,3958851,22.52,5574661,31.71,16366997, 93.10,12911214, 73.44,8157377,46.40, 4446113, 2886639,  37912,  861483,  660079,17580205
"2020:Q2",118735872,657.05,135400539,749.27,16664667, 92.22,41323299,228.67, 94077240,520.60,10583591, 58.57,4097324,22.67,1983752,10.98,31261753,172.99,5702388,31.56,4359158,24.12,15417826, 85.32,20022916,110.80,12275168,67.93,4203816,23.26,5291784,29.28,16278430, 90.08,12479764, 69.06,8107536,44.86, 7867173, 5791191, -13439,  681720, 1407702,18071076
"2020:Q1",110868699,671.16,127532701,772.04,16664002,100.88,40630370,245.96, 86902331,526.08,10517494, 63.67,4147835,25.11,1998673,12.10,30533743,184.84,5702306,34.52,4394321,26.60,14266606, 86.37,16363087, 99.06,10143806,61.41,4557101,27.59,4951938,29.98,16190996, 98.01,12348206, 74.75,8080591,48.92,-6034922,-7846359,-308001,  712474, 1406963,16518917
"2019:Q4",116903621,714.24,133509401,815.69,16605780,101.46,39872488,243.61, 93636913,572.09,10476188, 64.01,4192191,25.61,1937401,11.84,29887502,182.60,5669898,34.64,4315088,26.36,13359869, 81.62,21182192,129.42,13171060,80.47,4529168,27.67,5287872,32.31,16108188, 98.42,12188691, 74.47,7809873,47.72, 3419434, 2458842,   2764,  331643,  626185,16367592
"2019:Q3",113484187,700.05,129895845,801.29,16411658,101.24,39494857,243.63, 90400988,557.65,10406336, 64.19,4124135,25.44,1881187,11.60,29543803,182.25,5630791,34.73,4320263,26.65,12792423, 78.91,19712171,121.60,12182240,75.15,4664962,28.78,5149314,31.76,15974079, 98.54,12130109, 74.83,7795691,48.09,  699687, -194958, 390833,  281023,  222788,16210924
"2019:Q2",112784500,702.22,128994447,803.15,16209947,100.93,39162859,243.84, 89831588,559.31,10316274, 64.23,4052091,25.23,1841582,11.47,29260390,182.18,5588616,34.80,4313853,26.86,12538289, 78.07,19770271,123.09,12319098,76.70,4645705,28.93,4777738,29.75,15839848, 98.62,12014105, 74.80,7926536,49.35, 2250704,  913460, 486154,  533956,  317134,16061055
"2019:Q1",110533797,691.34,126538744,791.45,16004947,100.10,38568762,241.23, 87969982,550.22,10230606, 63.99,3994488,24.98,1779853,11.13,28880138,180.63,5540112,34.65,4148512,25.95,12686903, 79.35,19275135,120.56,11900774,74.43,4390668,27.46,4546621,28.44,15704687, 98.23,11621824, 72.69,7843369,49.06, 6207483, 4220906, 123931,  634291, 1228354,15988254
"2018:Q4",104326314,661.51,120300318,762.80,15974004,101.29,37852478,240.01, 82447840,522.78,10204419, 64.70,4007042,25.41,1762543,11.18,28387225,180.00,5471605,34.69,3993648,25.32,12297536, 77.98,16488968,104.55,10466034,66.36,4226230,26.80,4587128,29.09,15569032, 98.72,11392689, 72.24,7420223,47.05,-3824477,-4501722,  91413,  247643,  338190,15770966
"2018:Q3",108150791,694.92,123995083,796.73,15844292,101.81,37542826,241.23, 86452257,555.50,10143409, 65.18,3934569,25.28,1766314,11.35,28119542,180.68,5417717,34.81,4005567,25.74,11963230, 76.87,19087870,122.65,12368855,79.48,4006921,25.75,4715024,30.30,15479053, 99.46,11414937, 73.35,7416366,47.65, 2044101, 1370245, 289975,  382434,    1446,15563067
"2018:Q2",106106690,691.29,121780212,793.40,15673523,102.11,37112444,241.79, 84667768,551.62,10047793, 65.46,3858189,25.14,1767541,11.52,27762744,180.88,5380900,35.06,3968800,25.86,12103788, 78.86,18264136,118.99,11822343,77.02,3772033,24.57,4659937,30.36,15386697,100.25,11307413, 73.67,7351422,47.89, 1326501,  502892, 182908,  429058,  211642,15349067
"2018:Q1",104780189,692.39,120324266,795.11,15544077,102.72,36621514,242.00, 83702752,553.11, 9965925, 65.86,3819911,25.24,1758241,11.62,27369865,180.86,5328880,35.21,3922769,25.92,12141022, 80.23,17954009,118.64,11629578,76.85,3637937,24.04,4611124,30.47,15295535,101.07,11105900, 73.39,7327646,48.42, 1044806, -226359, 241417,  666581,  363166,15133060
"2017:Q4",103735383,697.53,119227794,801.71,15492411,104.17,35883314,241.28, 83344480,560.42, 9928794, 66.76,3830752,25.76,1732865,11.65,26746918,179.85,5267636,35.42,3868760,26.01,11869461, 79.81,18100955,121.71,11708991,78.73,3578425,24.06,4429219,29.78,15205660,102.25,11006082, 74.01,7445687,50.07, 2494809, 1567001, -54715,  458973,  523550,14871770
"2017:Q3",101240574,689.08,116535544,793.18,15294971,104.10,35364094,240.70, 81171450,552.48, 9855208, 67.08,3749203,25.52,1690560,11.51,26346184,179.32,5216153,35.50,3801757,25.88,11647475, 79.28,17076472,116.23,11166473,76.00,3563008,24.25,4499350,30.62,15110638,102.85,10827035, 73.69,7280999,49.56, 1709349,  964798, 174472,  475417,   94662,14692114
"2017:Q2", 99531225,684.59,114677607,788.77,15146382,104.18,34870875,239.85, 79806732,548.92, 9773974, 67.23,3682758,25.33,1689650,11.62,25839363,177.73,5206069,35.81,3825443,26.31,11539674, 79.37,16601390,114.19,10676757,73.44,3659234,25.17,4228652,29.09,15015470,103.28,10724384, 73.76,7361171,50.63, 2168475,  790156, 192796,  738123,  447400,14538770
"2017:Q1", 97362750,678.34,112352502,782.78,14989753,104.44,34103806,237.61, 78248696,545.17, 9706328, 67.63,3630450,25.29,1652975,11.52,25318968,176.40,5185202,36.13,3599636,25.08,11641162, 81.11,16131801,112.39,10356190,72.15,3566995,24.85,4128095,28.76,14920468,103.95,10225802, 71.24,7278183,50.71, 2376444, 1435417,  -6891,  382713,  565205,14353057
"2016:Q4", 94986306,672.55,109916741,778.27,14930435,105.71,33664713,238.36, 76252028,539.90, 9658822, 68.39,3636436,25.75,1635177,11.58,24902950,176.33,5136728,36.37,3625035,25.67,11431613, 80.94,15279770,108.19, 9772804,69.20,3573569,25.30,4128412,29.23,14824323,104.96,10206612, 72.27,7034925,49.81,  476107,  402998,-491027,  423308,  140828,14123300
"2016:Q3", 94510199,676.61,109337300,782.76,14827101,106.15,33204936,237.72, 76132364,545.04, 9608794, 68.79,3561637,25.50,1656670,11.86,24502635,175.42,5111191,36.59,3591110,25.71,11310574, 80.97,14961609,107.11, 9687968,69.36,3937848,28.19,4255160,30.46,14729480,105.45,10209108, 73.09,7040617,50.40, 1649503,  722564, -48030,  609787,  365183,13968108
"2016:Q2", 92860696,670.87,107512084,776.72,14651388,105.85,32566849,235.28, 74945235,541.44, 9535091, 68.89,3476846,25.12,1639451,11.84,23996015,173.36,5091724,36.79,3479110,25.13,11108854, 80.26,14602189,105.49, 9324824,67.37,4091897,29.56,4149141,29.98,14632609,105.71,10021546, 72.40,7014175,50.67, 1736168,  550434, 236965,  647800,  300970,13841829
"2016:Q1", 91124527,661.17,105639638,766.48,14515111,105.32,31854999,231.13, 73784639,535.36, 9483081, 68.81,3412265,24.76,1619765,11.75,23461391,170.23,5037243,36.55,3356365,24.35,11163315, 81.00,14150183,102.67, 9226396,66.94,4015731,29.14,3988342,28.94,14536979,105.48, 9767030, 70.87,6936663,50.33, 1163507,  227711, 254553,  247842,  433400,13782355
"2015:Q4", 89961021,658.34,104463763,764.47,14502742,106.13,31553105,230.91, 72910658,533.57, 9492847, 69.47,3400223,24.88,1609672,11.78,23180305,169.64,4990625,36.52,3382175,24.75,10939621, 80.06,13848299,101.34, 9300568,68.06,3873308,28.35,3876212,28.37,14441693,105.69, 9833387, 71.96,6797568,49.75, 1480593, 1005040, -79736,  318674,  236615,13664798
"2015:Q3", 88480427,650.67,102969957,757.23,14489530,106.55,31201089,229.45, 71768868,527.78, 9429257, 69.34,3463137,25.47,1597136,11.75,22854486,168.07,4963696,36.50,3382907,24.88,10673599, 78.49,13267460, 97.57, 8876367,65.28,4134547,30.40,3694709,27.17,14353544,105.55, 9787329, 71.97,6981313,51.34, -989533,-1998361, 240822,  452933,  315073,13598262
"2015:Q2", 89469960,663.34,103838867,769.87,14368907,106.53,30711915,227.70, 73126952,542.17, 9387849, 69.60,3377784,25.04,1603274,11.89,22416548,166.20,4935086,36.59,3360281,24.91,10559843, 78.29,14418108,106.90, 9724080,72.10,3794585,28.13,3793849,28.13,14266919,105.78, 9622447, 71.34,6947120,51.51,  769583,   73342,-240252,  517081,  419412,13487843
"2015:Q1", 88700378,662.91,102939320,769.32,14238942,106.42,30122763,225.12, 72816557,544.20, 9351461, 69.89,3307110,24.72,1580371,11.81,21972657,164.21,4872340,36.41,3277766,24.50,10510533, 78.55,14379772,107.47, 9689075,72.41,3952722,29.54,3875965,28.97,14178555,105.96, 9334453, 69.76,6895483,51.53, 1688051,  467684,  73316,  438864,  708187,13380512
"2014:Q4", 87012327,656.29,101271249,763.84,14258922,107.55,29652412,223.65, 71618837,540.19, 9387257, 70.80,3309540,24.96,1562125,11.78,21645713,163.26,4851760,36.59,3154939,23.80,10223210, 77.11,14153167,106.75, 9447995,71.26,3912187,29.51,3843184,28.99,14088603,106.26, 9150828, 69.02,6799663,51.29, 1564324,  789217,  54112,  333849,  387146,13258193
"2014:Q3", 85448002,652.82, 99635681,761.21,14187679,108.39,29291080,223.78, 70344601,537.43, 9381093, 71.67,3242981,24.78,1563605,11.95,21395698,163.46,4833528,36.93,3061854,23.39,10095064, 77.13,13569033,103.67, 9242912,70.62,3938332,30.09,3762926,28.75,13983946,106.84, 8934647, 68.26,6817740,52.09,  675986, -430830,  11476,  453493,  641847,13089118
"2014:Q2", 84772016,655.53, 98967505,765.30,14195489,109.77,28792729,222.65, 70174776,542.65, 9377360, 72.51,3164019,24.47,1654110,12.79,21006316,162.44,4797544,37.10,2988869,23.11, 9952065, 76.96,13820289,106.87, 9422486,72.86,3925526,30.36,3764257,29.11,13877745,107.31, 8660486, 66.97,6751923,52.21, 2185335, 1091748, 172685,  533504,  387398,12931863
"2014:Q1", 82586682,649.55, 96710001,760.63,14123319,111.08,28232511,222.05, 68477490,538.58, 9394417, 73.89,3096842,24.36,1632060,12.84,20581052,161.87,4779068,37.59,2872391,22.59, 9937291, 78.16,13084691,102.91, 9066336,71.31,3861895,30.37,3655203,28.75,13770852,108.31, 8395276, 66.03,6705946,52.74, 1750310,  909691,  97761,  267023,  475836,12714403
